Group,Pathway_ID,Pathway,Total,Hits,Raw_P,FDR,Impact,Hits_metabolites_name,Significant
Both_GA_BPD_6M,hsa00030,Pentose phosphate pathway,22,0,1.0,1.0,0.185,,No
Both_GA_BPD_6M,hsa00250,"Alanine, aspartate and glutamate metabolism",24,0,1.0,1.0,0.271,,No
Both_GA_BPD_6M,hsa00270,Cysteine and methionine metabolism,33,0,1.0,1.0,0.221,,No
Both_GA_BPD_6M,hsa00300,Lysine biosynthesis,11,0,1.0,1.0,0.089,,No
Both_GA_BPD_6M,hsa00310,Lysine degradation,25,0,1.0,1.0,0.19,,No
Both_GA_BPD_6M,hsa00430,Taurine and hypotaurine metabolism,10,0,1.0,1.0,0.237,,No
Both_GA_BPD_6M,hsa00470,D-Amino acid metabolism,20,0,1.0,1.0,0.098,,No
Both_GA_BPD_6M,hsa00480,Glutathione metabolism,28,0,1.0,1.0,0.183,,No
Both_GA_BPD_6M,hsa00620,Pyruvate metabolism,22,0,1.0,1.0,0.209,,No
Both_GA_BPD_6M,hsa00630,Glyoxylate and dicarboxylate metabolism,20,0,1.0,1.0,0.174,,No
Both_GA_BPD_6M,hsa00640,Propanoate metabolism,18,0,1.0,1.0,0.208,,No
Both_GA_BPD_6M,hsa00650,Butanoate metabolism,20,0,1.0,1.0,0.198,,No
Both_GA_BPD_6M,hsa00670,One carbon pool by folate,12,0,1.0,1.0,0.148,,No
GA_only_2Y,hsa00360,Phenylalanine metabolism,17,2,0.014027332570740098,0.32389209465847413,0.186,4-Hydroxyphenylacetic acid; Tyrosine,Yes
GA_only_2Y,hsa00620,Pyruvate metabolism,22,2,0.023135149618462435,0.32389209465847413,0.209,Alanine; Lactic acid,Yes
GA_only_2Y,hsa00270,Cysteine and methionine metabolism,33,2,0.049562513598493285,0.462583460252604,0.221,Alanine; Taurine,Yes
GA_only_2Y,hsa00350,Tyrosine metabolism,42,2,0.07664227955295524,0.5364959568706867,0.36,4-Hydroxyphenylacetic acid; Tyrosine,No
GA_only_2Y,hsa00430,Taurine and hypotaurine metabolism,10,1,0.10754818286497046,0.5376833146828894,0.237,Taurine,No
GA_only_2Y,hsa00670,One carbon pool by folate,12,1,0.12777943886297777,0.5376833146828894,0.148,Formic acid,No
GA_only_2Y,hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",17,1,0.17658532623095216,0.5376833146828894,0.131,Tyrosine,No
GA_only_2Y,hsa00630,Glyoxylate and dicarboxylate metabolism,20,1,0.2046893317833046,0.5376833146828894,0.174,Formic acid,No
GA_only_2Y,hsa00030,Pentose phosphate pathway,22,1,0.2229484144692314,0.5376833146828894,0.185,Gluconic acid,No
GA_only_2Y,hsa00410,beta-Alanine metabolism,22,1,0.2229484144692314,0.5376833146828894,0.196,Alanine,No
GA_only_2Y,hsa00760,Nicotinate and nicotinamide metabolism,22,1,0.2229484144692314,0.5376833146828894,0.217,1-Methylnicotinamide,No
GA_only_2Y,hsa00250,"Alanine, aspartate and glutamate metabolism",24,1,0.24083392058674735,0.5376833146828894,0.271,Alanine,No
GA_only_2Y,hsa00310,Lysine degradation,25,1,0.2496386818170558,0.5376833146828894,0.19,N6-Acetyl-L-lysine,No
GA_only_2Y,hsa00010,Glycolysis / Gluconeogenesis,28,1,0.2755109199134497,0.5510218398268995,0.204,Lactic acid,No
GA_only_2Y,hsa00380,Tryptophan metabolism,41,1,0.37869812959281296,0.7069031752399175,0.282,Formic acid,No
GA_only_2Y,hsa00020,Citrate cycle (TCA cycle),20,0,1.0,1.0,0.312,,No
GA_only_2Y,hsa00260,"Glycine, serine and threonine metabolism",27,0,1.0,1.0,0.234,,No
GA_only_2Y,hsa00280,"Valine, leucine and isoleucine degradation",40,0,1.0,1.0,0.298,,No
GA_only_2Y,hsa00290,"Valine, leucine and isoleucine biosynthesis",13,0,1.0,1.0,0.145,,No
GA_only_2Y,hsa00300,Lysine biosynthesis,11,0,1.0,1.0,0.089,,No
GA_only_2Y,hsa00330,Arginine and proline metabolism,38,0,1.0,1.0,0.256,,No
GA_only_2Y,hsa00470,D-Amino acid metabolism,20,0,1.0,1.0,0.098,,No
GA_only_2Y,hsa00480,Glutathione metabolism,28,0,1.0,1.0,0.183,,No
GA_only_2Y,hsa00500,Starch and sucrose metabolism,25,0,1.0,1.0,0.143,,No
GA_only_2Y,hsa00640,Propanoate metabolism,18,0,1.0,1.0,0.208,,No
GA_only_2Y,hsa00650,Butanoate metabolism,20,0,1.0,1.0,0.198,,No
GA_only_2Y,hsa00770,Pantothenate and CoA biosynthesis,15,0,1.0,1.0,0.162,,No
GA_only_2Y,hsa01210,2-Oxocarboxylic acid metabolism,25,0,1.0,1.0,0.189,,No
